	6020.SRR12919063	6052.SRR12919052	6049.SRR12919053	6008.SRR12919096	6010.SRR12919077	6011.SRR12919095	5051.SRR12919114	5039.SRR12919102	5003.SRR12919090	5017.SRR12919046	6021.SRR12919069	5026.SRR12919043	6040.SRR12919057	6002.SRR12919143	5048.SRR12919039	6035.SRR12919058	5050.SRR12919079	5010.SRR12919134	6047.SRR12919059	6013.SRR12919075	5052.SRR12919038	6043.SRR12919056	5028.SRR12919145	6026.SRR12919118	6012.SRR12919076	6050.SRR12919065	5012.SRR12919087	6014.SRR12919094	6023.SRR12919119	6042.SRR12919135	6005.SRR12919141	6003.SRR12919142	5021.SRR12919107	6018.SRR12919071	5014.SRR12919148	6016.SRR12919064	5038.SRR12919041	6038.SRR12919136	5019.SRR12919108	6027.SRR12919067	6044.SRR12919112	6037.SRR12919137	6024.SRR12919092	5023.SRR12919146	5047.SRR12919125	5015.SRR12919086	6033.SRR12919060	6029.SRR12919062	5032.SRR12919083	5022.SRR12919044	5030.SRR12919120	5002.SRR12919091	5035.SRR12919105	5016.SRR12919147	5040.SRR12919101	5033.SRR12919144	6019.SRR12919103	5020.SRR12919045	5004.SRR12919051	5044.SRR12919040	5042.SRR12919036	5006.SRR12919049	5029.SRR12919121	5011.SRR12919109	6051.SRR12919074	5024.SRR12919106	5009.SRR12919047	5036.SRR12919104	6004.SRR12919097	5034.SRR12919082	5008.SRR12919088	6039.SRR12919066	6030.SRR12919061	5049.SRR12919098	5018.SRR12919085	6028.SRR12919117	6046.SRR12919054	5037.SRR12919037	5041.SRR12919100	6006.SRR12919140	6041.SRR12919113	6031.SRR12919116	6036.SRR12919138	6048.SRR12919111	6015.SRR12919072	6025.SRR12919081	5013.SRR12919034	6045.SRR12919055	5031.SRR12919042	6034.SRR12919115	5043.SRR12919099	5007.SRR12919089	5005.SRR12919050	6001.SRR12919078	5025.SRR12919084	5046.SRR12919080	6032.SRR12919070	6022.SRR12919068	5001.SRR12919073
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	31	74	34501	223	24276	28	13856	79	14658	28	2793	7355	77	6933	16630	15481	253	17409	349	1771	1272	1212	31973	919	11955	578	43	3792	5226		13776	6		3796	741	1527	32		27036	10979	9298	24	48148	1584	12619	82	15	6979		1127	8959	333	3175	6273	11794	2450	16351	11	11993	26851	5718	7232		15422	259	3256	5836	4397	4876	1435	132	4791	63	1956	44414	313	17662	2275	4796	387	392		6611	1891	37	10788	2233	1176	76		414	3880	15032	1815	28916	6540	14317	7	7638
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group																																								95																																												12			14												
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001																												30																																																								6								14							
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-003																																																																																							28												
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes																																								7																						12																																					
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group			8		558		3					7		23	6			316						5	537				226					129			30								495												822				99																						78			534	177					27							
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides					3							6																												11											151											84																						13			70												
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter																																																	3																													18																					
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Antarcticibacterium																																																			6																																																
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium													5																																																																																						
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium																														7						154													4													31																16																					
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Cloacibacterium																								10																																			5																																								
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Empedobacter																																		35		60																										13																		3																			
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Nubsella																																				7																																																															
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter																								3																																																																											
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter																										44																																																																									
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter	8		3095		132			44			16	595	4			12	22	168			31	42		42	6	31		27	10					335			32		24		14		23					4					9	8	29		90		37	17					49	44				155															5	45	35	131				310					37		34
Bacteria;Chloroflexi;Anaerolineae;Caldilineales;Caldilineaceae;Caldilinea																																																																														24																					
Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Herpetosiphonaceae;Herpetosiphon																																																																														4																					
Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast													19															2						88	20	7								191	4		7				24														9				3	31								145						3															
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales																																																																																				3															
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Coleofasciculaceae;Microcoleus PCC-7113																																																																																				24															
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae;Planktothrix NIVA-CYA 15																										69																																																																									
Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales																																								49				11																		85																						40			93												
Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Meiothermus																																												37																																																							
Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus												13																						17																																																										7							
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila																																																			9																																																
Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales																																		14																																																																	
Bacteria;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Elusimicrobium																																																														64																									24												
Bacteria;Firmicutes								2																				2			6								4												1		3		2							2						7						2																		2							
Bacteria;Firmicutes;Bacilli						1				10											2																							35									2															4																															
Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Anaeroplasma																																								38																																															70												
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae																			4																																								4																																								
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus																																												15					4																																																		
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus																										5																							3																3													48																					
Bacteria;Firmicutes;Bacilli;Bacillales;Marinococcaceae;Marinococcus																																				4																																																															
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planococcus																				5																																																																															
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planomicrobium																																												8																																																							
